Assigned To	Code	Date	User	Tweet
Carmen Collins	Unclear/Unrelated	Tue May 29 18:07:33 +0000 2018	ashleygennett	@Kybballking At least I'd been ahead of Roseanne
Suzanne Garcia	Pro-Roseanne	Tue May 29 18:07:33 +0000 2018	MichaelBTCE	@TheProposalTV @ABCNetwork @JessePalmerTV You'll keep this garbage on, but get rid of @therealroseanne? Fuck you, you bunch of bitches.
Sigfried Gold	Pro-Roseanne	Tue May 29 18:07:33 +0000 2018	KimberlyAParri0	ROSEANNE BARR CENSORED https://t.co/8JYkyhvDcM
Sigfried Gold	Anti-Roseanne	Tue May 29 18:07:33 +0000 2018	RESISTTHECHEETO	Roseanne's Twitter statement is abhorrent,... https://t.co/5KZyKZMrqT
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:07:33 +0000 2018	ChildspirtVari	@Chongo2204 I'm about to pen a biography book about @therealroseanne this is the working title so far.... https://t.co/x4DPnXjlYl
Suzanne Garcia	Neutral	Tue May 29 18:07:34 +0000 2018	abferri	usatodaylife: RT SaraMoniuszko: 'Roseanne's Twitter statement is abhorrent, repugnant and inconsistent with our val... https://t.co/1vHGdf9YAY
Aditya Bhat	Neutral	Tue May 29 18:07:35 +0000 2018	itssnaz_	are ABC executives also going to account for why they decided to pick up roseanne in the first place? because girl...
Kristen Byers	Anti-Roseanne	Tue May 29 18:07:35 +0000 2018	senormundial	My problem with @therealroseanne was never that she was a Trump supporter. It was her blatant racism that everyone... https://t.co/7mB4Ac4ABb
Sarah Jackson	Anti-Roseanne	Tue May 29 18:07:35 +0000 2018	downtownFranki1	Good.  https://t.co/shS51h6Wt3
Sarah Jackson	Neutral	Tue May 29 18:07:36 +0000 2018	AmericanSunlig1	ABC cancels 'Roseanne' after star's racist Twitter rant https://t.co/FjK0Yd6Dmy via @CNNMoney
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:07:36 +0000 2018	Kevincore77	@therealroseanne Karma! You and your god Trump do NOT have permission to go around calling people names, judging pe... https://t.co/09VhEoa0kM
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:07:36 +0000 2018	BillWrh1970	@mmstwells @marthamaccallum @therealroseanne @RealCandaceO Now if they will do it against racist blacks
Aditya Bhat	Unclear/Unrelated	Tue May 29 18:07:37 +0000 2018	markyquayle	Repercussions! https://t.co/ssscpLHu9E
Suzanne Garcia	Anti-Roseanne	Tue May 29 18:07:37 +0000 2018	PhilipClark	Since I don't TV, Roseanne's unscheduled TV demise won't have any effect on my personal life, but I still find it modestly comforting.
Sarah Jackson	Anti-Roseanne	Tue May 29 18:07:37 +0000 2018	AlexChestnut7	@Mamaknits3 @therealroseanne Forgiveness is for Valerie Jarrett to decide. Giving a platform to a repeat offender w... https://t.co/xZEdViqaJv
