Source,Target,Type,Id,Label,timeset,Weight
@__Dhenderson__,@DrTruthHurts,Directed,14079,,,1
@__leeshy,@Luvvie,Directed,49206,,,1
@__leeshy,@Purrcival1,Directed,49205,,,1
@__QuiK,@ReneePostula,Directed,57563,,,1
@__TruthSeeker_,@EdKrassen,Directed,48688,,,1
@__TruthSeeker_,@edrose4769,Directed,48687,,,1
@__TruthSeeker_,@KyleKashuv,Directed,48690,,,1
@__TruthSeeker_,@TrixieGee1,Directed,48686,,,1
@__Zer0_0,@BethB1213,Directed,5459,,,1
@__Zer0_0,@soonerrick,Directed,5458,,,1
@_AltDonaldTrump,@dailybriefing,Directed,24091,,,1
@_AltDonaldTrump,@FoxNews,Directed,24090,,,1
@_awj,@AnnKeenan3434,Directed,28657,,,1
@_awj,@sweetatertot2,Directed,28656,,,1
@_awj,@yashar,Directed,28658,,,1
@_barretme,@JackPosobiec,Directed,49729,,,1
@_Cardinal_Fang_,@RealAlexJones,Directed,60920,,,1
@_CarolineWhite,@RoseanneOnABC,Directed,45600,,,1
@_CB01,@_SidVerma,Directed,34145,,,1
@_celia_bedelia_,@JohnFugelsang,Directed,26616,,,1
@_DavidCarter_,@TimBarnes451,Directed,30830,,,1
@_dpaj,@CBCNews,Directed,7012,,,1
@_dpaj,@NYDailyNews,Directed,6968,,,1
@_dpaj,@thehill,Directed,41534,,,1
@_EricEpic_,@ChelseaClinton,Directed,1462,,,1
@_EricEpic_,@mehransharmini,Directed,1460,,,1
@_EricEpic_,@mojopo,Directed,1459,,,1
@_EricEpic_,@OpenSociety,Directed,1463,,,1
@_I_LikeTurtles,@RobertIger,Directed,48318,,,1
@_IAmInvictus,@scottisbell_,Directed,42809,,,1
@_iamnecie,@JenNongel,Directed,26835,,,1
@_iamnecie,@RoseanneOnABC,Directed,26837,,,1
@_innerhostility,@blaubok,Directed,12669,,,1
@_innerhostility,@JackPosobiec,Directed,12668,,,1
@_Iogan,@zoraida_merlo,Directed,58116,,,1
@_Jennifa,@andygh26,Directed,60554,,,1
@_Jennifa,@debralynnsmith3,Directed,60557,,,1
@_Jennifa,@Milliron681,Directed,60555,,,1
@_Jennifa,@soonerrick,Directed,60556,,,1
@_JustinVO_,@JudyKurtz,Directed,33354,,,1
@_Kel_Varnsen_,@ABC_Publicity,Directed,12740,,,1
@_Kel_Varnsen_,@ArchiesBunker20,Directed,12739,,,1
@_L_o_r_i_,@tillmantweets,Directed,43359,,,1
@_L_o_r_i_,@TrishIntel,Directed,57979,,,1
@_Lisah,@paigewolf,Directed,8451,,,1
@_MaddMoneyy_,@iKryse,Directed,27861,,,1
@_marksheppard,@swtimogenation,Directed,10951,,,1
@_maryann123_,@THEsaragilbert,Directed,44855,,,1
@_Mesmerizing,@Blavity,Directed,16349,,,1
@_michaelhughes1,@LadyBabs07,Directed,45351,,,1
@_MrHarrison,@EdKrassen,Directed,49539,,,1
@_MrHarrison,@realmikepacker,Directed,49538,,,1
@_MrHarrison,@Sarah_G_Barker,Directed,49537,,,1
@_MsJanay,@BobbyJOnline,Directed,1041,,,1
@_newsie,@cnnbrk,Directed,42250,,,1
@_newsie,@THEsaragilbert,Directed,52516,,,1
@_newsie,@TwitterMoments,Directed,54420,,,1
@_nickjohnson17,@ABC_Publicity,Directed,38236,,,1
@_nickjohnson17,@lucyhale,Directed,38237,,,1
@_notoriousG,@TedNugent,Directed,25185,,,1
@_onimod_,@bodydouble,Directed,51904,,,1
@_onimod_,@ChelseaClinton,Directed,51909,,,1
@_onimod_,@JackShadowban,Directed,51903,,,1
@_onimod_,@MarcSilvahh,Directed,51905,,,1
@_onimod_,@mehransharmini,Directed,51907,,,1
@_onimod_,@mojopo,Directed,51906,,,1
@_onimod_,@OpenSociety,Directed,51910,,,1
@_pettyking,@TwitterMoments,Directed,14129,,,1
@_RAGNAROK307,@koushik7496,Directed,16511,,,1
@_RayStern,@KayaJones,Directed,3181,,,1
@_RayStern,@kitconsul,Directed,17326,,,1
@_RayStern,@marthamaccallum,Directed,17327,,,1
@_RayStern,@RealCandaceO,Directed,17328,,,1
@_RayStern,@TjJamesAZ,Directed,3180,,,1
