Id,Label,timeset,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,tweets,mentions,pro,group
@_____JV,,,0,8,0.282383,0.319626,0,1,0,1,anti
@__Dhenderson__,,,663,1,1,1,0,1,0,5,pro
@DrTruthHurts,,,663,0,0,0,0,0,2,,
@__E_Z_E,,,1,8,0.282383,0.319626,0,,,,
@__leeshy,,,2,8,0.283312,0.322733,0,1,0,3,unclear/neutral
@Luvvie,,,2,8,0.282383,0.319626,436,0,2,,
@Purrcival1,,,2,0,0,0,0,0,1,,
@__M__A__K__,,,3,8,0.282383,0.319626,0,,,,
@__QuiK,,,345,8,0.282848,0.321183,0,1,0,1,anti
@ReneePostula,,,345,8,0.282383,0.319626,0,0,6,,
@__Robyn_,,,4,8,0.282566,0.320773,0,1,0,1,anti
@__TruthSeeker_,,,61,8,0.28479,0.326759,11,,,,
@EdKrassen,,,61,8,0.288462,0.337411,22286.981349,1,45,3,unclear/neutral
@edrose4769,,,61,8,0.283863,0.323684,0,,,,
@KyleKashuv,,,61,1,1,1,12,,,,
@TrixieGee1,,,61,8,0.284054,0.323728,0.333333,,,,
@__Zer0_0,,,4323,8,0.290473,0.330253,0,,,,
@BethB1213,,,4323,8,0.282468,0.320744,0.420635,0,45,,
@soonerrick,,,4323,8,0.297945,0.344384,610766.025067,0,167,,
@_A__Dub,,,474,8,0.282383,0.319626,0,,,,
@_AltDonaldTrump,,,73,9,0.228796,0.249299,0,,,,
@dailybriefing,,,73,0,0,0,0,0,11,,
@FoxNews,,,73,8,0.295316,0.337794,111572.583651,0,133,,
@_Aware_Wolf,,,5,8,0.282383,0.319626,0,,,,
@_awj,,,73,9,0.235862,0.258833,0,,,,
@AnnKeenan3434,,,73,0,0,0,0,,,,
@sweetatertot2,,,1426,8,0.308684,0.356381,3803.061264,0,6,,
@yashar,,,73,8,0.287808,0.332667,9097.870879,0,5,,
@_Babs99,,,6,8,0.282383,0.319626,0,,,,
@_Baldanders_,,,7,8,0.282383,0.319626,0,,,,
@_barretme,,,345,9,0.253783,0.277281,0,,,,
@JackPosobiec,,,345,8,0.339314,0.402209,390801.041292,1,40,5,pro
@_Captain_Tuttle,,,8,8,0.282383,0.319626,0,1,0,0,anti
@_Cardinal_Fang_,,,9,8,0.290861,0.326444,0,,,,
@RealAlexJones,,,9,8,0.301874,0.339855,640938.610564,0,49,,
@_CarolineWhite,,,474,8,0.282933,0.322302,0,2,0,4,pro
@RoseanneOnABC,,,474,0,0,0,0,0,192,,
@_CB01,,,10,1,1,1,0,,,,
@_SidVerma,,,10,0,0,0,0,,,,
@_celia_bedelia_,,,11,1,1,1,0,,,,
@JohnFugelsang,,,11,0,0,0,0,,,,
@_ChrissySays_,,,12,8,0.282383,0.319626,0,,,,
@_cromer043,,,13,8,0.282383,0.319626,0,,,,
@_DavidCarter_,,,474,1,1,1,0,,,,
@TimBarnes451,,,474,0,0,0,0,0,1,,
@_DeGuerrero_,,,14,8,0.282566,0.320773,0,,,,
@_dingl,,,15,8,0.282383,0.319626,0,,,,
@_dpaj,,,345,9,0.237888,0.264263,0,3,0,2.3333333333333335,anti
@CBCNews,,,345,0,0,0,0,,,,
@NYDailyNews,,,345,8,0.285996,0.326278,47169.366667,0,6,,
@thehill,,,133,8,0.305907,0.362507,276287.086485,2,16,0.5,anti
@_Elle_Spencer_,,,16,1,1,1,0,,,,
@_EricEpic_,,,54,8,0.285894,0.327145,0,1,0,1,anti
@ChelseaClinton,,,54,8,0.283019,0.323426,40209.47316,0,161,,
@mehransharmini,,,54,8,0.285624,0.326763,229.5,0,17,,
@mojopo,,,54,8,0.288168,0.332282,3565.5,0,27,,
@OpenSociety,,,54,8,0.283019,0.32266,19793.897619,0,137,,
@_Fever7,,,17,1,1,1,0,1,0,3,unclear/neutral
@_GuerreroDeLuz_,,,18,8,0.282383,0.319626,0,,,,
@_hodgie,,,19,1,1,1,0,1,0,1,anti
@_I_LikeTurtles,,,133,9,0.23378,0.259517,6.533333,,,,
@RobertIger,,,133,8,0.304196,0.366275,398395.459928,0,30,,
@_IAmInvictus,,,49,8,0.282848,0.321183,0,1,0,1,anti
@scottisbell_,,,49,8,0.282383,0.319626,0,1,8,3,unclear/neutral
@_iamnecie,,,616,9,0.256725,0.28075,0,,,,
@JenNongel,,,616,8,0.319976,0.366581,3568.493912,0,3,,
@_iAmTheDayMan_,,,20,8,0.282383,0.319626,0,,,,
@_iamz3d,,,21,8,0.286277,0.327654,0,,,,
@_impeach_now,,,22,8,0.282383,0.319626,0,1,0,1,anti
@_ImTylers,,,23,9,0.246328,0.270269,0,,,,
@_innerhostility,,,345,9,0.254218,0.278935,0,,,,
@blaubok,,,345,0,0,0,0,,,,
@_Iogan,,,24,1,1,1,0,,,,
@zoraida_merlo,,,24,0,0,0,0,,,,
@_Jennifa,,,4323,8,0.293801,0.335185,0,,,,
@andygh26,,,4323,8,0.303983,0.347411,266066.080952,1,77,0,anti
@debralynnsmith3,,,4323,8,0.282101,0.319212,0,0,91,,
@Milliron681,,,4323,8,0.293522,0.334806,17618.2,0,63,,
@_johar_ali_,,,25,8,0.282383,0.319626,0,1,0,0,anti
@_jonny89,,,26,8,0.282383,0.319626,0,,,,
@_JordanLopez_,,,27,8,0.282383,0.319626,0,,,,
@_Jrlh_,,,28,9,0.246328,0.270269,0,,,,
@_JustinVO_,,,3370,9,0.230648,0.250518,0,,,,
@JudyKurtz,,,3370,8,0.29911,0.343113,5339.334524,0,4,,
@_Kel_Varnsen_,,,474,8,0.283573,0.323511,0,,,,
@ABC_Publicity,,,474,8,0.289744,0.339249,11780.740372,0,6,,
@ArchiesBunker20,,,474,9,0.225037,0.246675,0,,,,
@_L_o_r_i_,,,1426,9,0.221548,0.242071,1,1,0,0,anti
@tillmantweets,,,1426,8,0.284047,0.327299,436,0,1,,
@TrishIntel,,,1426,0,0,0,0,,,,
@_Lisah,,,29,1,1,1,0,,,,
@paigewolf,,,29,0,0,0,0,,,,
@_lisawoolf,,,30,8,0.282383,0.319626,0,,,,
@_luckygecko,,,31,8,0.282383,0.319626,0,1,0,1,anti
@_MaddMoneyy_,,,32,1,1,1,0,1,0,3,unclear/neutral
@iKryse,,,32,0,0,0,0,0,1,,
@_marksheppard,,,1426,8,0.283535,0.321802,0,,,,
@swtimogenation,,,1426,8,0.289902,0.334885,184.241667,3,4,2,anti
@_maryann123_,,,1560,8,0.283301,0.322111,0,2,0,1.5,anti
@THEsaragilbert,,,1560,8,0.28675,0.331089,189435.145117,0,144,,
@_mauricip,,,33,8,0.282383,0.319626,0,,,,
@_Mesmerizing,,,34,1,1,1,0,1,0,3,unclear/neutral
@Blavity,,,34,0,0,0,0,0,2,,
@_MichaelEM,,,35,8,0.282383,0.319626,0,,,,
@_michaelhughes1,,,3370,8,0.284084,0.325773,0,1,0,1,anti
@LadyBabs07,,,3370,8,0.302177,0.350827,4270.602381,0,37,,
@_MrHarrison,,,61,8,0.284326,0.325225,0,,,,
@realmikepacker,,,61,8,0.284047,0.324826,81,0,14,,
@Sarah_G_Barker,,,61,8,0.283863,0.323684,22,0,16,,
@_MsJanay,,,3276,8,0.282848,0.321183,0,1,0,0,anti
@BobbyJOnline,,,3276,0,0,0,0,,,,
@_MycroftXXX,,,36,9,0.246328,0.270269,0,,,,
@_newsie,,,1560,9,0.244094,0.274315,0,,,,
@cnnbrk,,,1560,8,0.30303,0.357062,10341.406385,0,11,,
@TwitterMoments,,,345,8,0.31878,0.388652,40084.471825,0,22,,
@_nickjohnson17,,,474,9,0.225422,0.248334,0,,,,
@lucyhale,,,474,0,0,0,0,,,,
@_notadoormatt,,,37,8,0.282383,0.319626,0,,,,
@_NotFakeNews_,,,38,1,1,1,0,,,,
@_notoriousG,,,663,9,0.223054,0.242715,0,1,0,0,anti
@TedNugent,,,663,8,0.286448,0.329837,9693.617133,1,12,1,anti
@_onimod_,,,54,8,0.287241,0.331562,0.5,1,0,3,unclear/neutral
@bodydouble,,,54,0,0,0,0,0,2,,
@JackShadowban,,,54,0,0,0,0,0,2,,
@MarcSilvahh,,,54,0,0,0,0,0,5,,
@_PapaMalo,,,39,8,0.282383,0.319626,0,1,0,1,anti
@_pettyking,,,345,9,0.242122,0.268813,0,,,,
@_RAGNAROK307,,,40,1,1,1,0,1,0,0,anti
@koushik7496,,,40,0,0,0,0,0,1,,
@_RayStern,,,174,8,0.285714,0.328882,3.5,0,1,,
@KayaJones,,,1426,8,0.293057,0.348004,7664.969336,0,93,,
@kitconsul,,,174,0,0,0,0,,,,
@marthamaccallum,,,174,9,0.247032,0.273464,1110.638492,0,41,,
@RealCandaceO,,,174,0,0,0,0,0,41,,
