Id,Label,timeset,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,tweets,mentions,pro
@_____JV,,,0,8,0.282383,0.319626,0,1,0,1
@__Dhenderson__,,,663,1,1,1,0,1,0,5
@DrTruthHurts,,,663,0,0,0,0,0,2,3
@__E_Z_E,,,1,8,0.282383,0.319626,0,,,
@__leeshy,,,2,8,0.283312,0.322733,0,1,0,3
@Luvvie,,,2,8,0.282383,0.319626,436,0,2,3
@Purrcival1,,,2,0,0,0,0,0,1,3
@__M__A__K__,,,3,8,0.282383,0.319626,0,,,
@__QuiK,,,345,8,0.282848,0.321183,0,1,0,1
@ReneePostula,,,345,8,0.282383,0.319626,0,0,6,3
@__Robyn_,,,4,8,0.282566,0.320773,0,1,0,1
@__TruthSeeker_,,,61,8,0.28479,0.326759,11,,,
@EdKrassen,,,61,8,0.288462,0.337411,22286.981349,1,45,3
@edrose4769,,,61,8,0.283863,0.323684,0,,,
@KyleKashuv,,,61,1,1,1,12,,,
@TrixieGee1,,,61,8,0.284054,0.323728,0.333333,,,
@__Zer0_0,,,4323,8,0.290473,0.330253,0,,,
@BethB1213,,,4323,8,0.282468,0.320744,0.420635,0,45,3
@soonerrick,,,4323,8,0.297945,0.344384,610766.025067,0,167,3
@_A__Dub,,,474,8,0.282383,0.319626,0,,,
@_AltDonaldTrump,,,73,9,0.228796,0.249299,0,,,
@dailybriefing,,,73,0,0,0,0,0,11,3
@FoxNews,,,73,8,0.295316,0.337794,111572.583651,0,133,3
@_Aware_Wolf,,,5,8,0.282383,0.319626,0,,,
@_awj,,,73,9,0.235862,0.258833,0,,,
@AnnKeenan3434,,,73,0,0,0,0,,,
@sweetatertot2,,,1426,8,0.308684,0.356381,3803.061264,0,6,3
@yashar,,,73,8,0.287808,0.332667,9097.870879,0,5,3
@_Babs99,,,6,8,0.282383,0.319626,0,,,
@_Baldanders_,,,7,8,0.282383,0.319626,0,,,
@_barretme,,,345,9,0.253783,0.277281,0,,,
@JackPosobiec,,,345,8,0.339314,0.402209,390801.041292,1,40,5
@_Captain_Tuttle,,,8,8,0.282383,0.319626,0,1,0,3
@_Cardinal_Fang_,,,9,8,0.290861,0.326444,0,,,
@RealAlexJones,,,9,8,0.301874,0.339855,640938.610564,0,49,3
@_CarolineWhite,,,474,8,0.282933,0.322302,0,2,0,4
@RoseanneOnABC,,,474,0,0,0,0,0,192,3
@_CB01,,,10,1,1,1,0,,,
@_SidVerma,,,10,0,0,0,0,,,
@_celia_bedelia_,,,11,1,1,1,0,,,
@JohnFugelsang,,,11,0,0,0,0,,,
@_ChrissySays_,,,12,8,0.282383,0.319626,0,,,
@_cromer043,,,13,8,0.282383,0.319626,0,,,
@_DavidCarter_,,,474,1,1,1,0,,,
@TimBarnes451,,,474,0,0,0,0,0,1,3
@_DeGuerrero_,,,14,8,0.282566,0.320773,0,,,
@_dingl,,,15,8,0.282383,0.319626,0,,,
@_dpaj,,,345,9,0.237888,0.264263,0,3,0,2.3333333333333335
@CBCNews,,,345,0,0,0,0,,,
@NYDailyNews,,,345,8,0.285996,0.326278,47169.366667,0,6,3
@thehill,,,133,8,0.305907,0.362507,276287.086485,2,16,2
@_Elle_Spencer_,,,16,1,1,1,0,,,
@_EricEpic_,,,54,8,0.285894,0.327145,0,1,0,1
@ChelseaClinton,,,54,8,0.283019,0.323426,40209.47316,0,161,3
@mehransharmini,,,54,8,0.285624,0.326763,229.5,0,17,3
@mojopo,,,54,8,0.288168,0.332282,3565.5,0,27,3
@OpenSociety,,,54,8,0.283019,0.32266,19793.897619,0,137,3
@_Fever7,,,17,1,1,1,0,1,0,3
@_GuerreroDeLuz_,,,18,8,0.282383,0.319626,0,,,
@_hodgie,,,19,1,1,1,0,1,0,1
@_I_LikeTurtles,,,133,9,0.23378,0.259517,6.533333,,,
@RobertIger,,,133,8,0.304196,0.366275,398395.459928,0,30,3
@_IAmInvictus,,,49,8,0.282848,0.321183,0,1,0,1
@scottisbell_,,,49,8,0.282383,0.319626,0,1,8,3
@_iamnecie,,,616,9,0.256725,0.28075,0,,,
@JenNongel,,,616,8,0.319976,0.366581,3568.493912,0,3,3
@_iAmTheDayMan_,,,20,8,0.282383,0.319626,0,,,
@_iamz3d,,,21,8,0.286277,0.327654,0,,,
@_impeach_now,,,22,8,0.282383,0.319626,0,1,0,1
@_ImTylers,,,23,9,0.246328,0.270269,0,,,
@_innerhostility,,,345,9,0.254218,0.278935,0,,,
@blaubok,,,345,0,0,0,0,,,
@_Iogan,,,24,1,1,1,0,,,
@zoraida_merlo,,,24,0,0,0,0,,,
@_Jennifa,,,4323,8,0.293801,0.335185,0,,,
@andygh26,,,4323,8,0.303983,0.347411,266066.080952,1,77,3
@debralynnsmith3,,,4323,8,0.282101,0.319212,0,0,91,3
@Milliron681,,,4323,8,0.293522,0.334806,17618.2,0,63,3
