Source,Target
@Sw33tss_,@BruceHiscott
@sueski93,@kplknup
@birdieglad,@pannlewis44
@Claudia28588043,@DaleEstey
@ChelseaClinton,@therealroseanne
@CityJohn,@HelenORahilly
@DarbaDee,@mitch_won
@DarbaDee,@vertigo7804
@dmason8652,@1angryhillbilly
@georgmike19,@RiddleSean
@therealroseanne,@ABC
@MamaRose2017,@keanothedog
@k_ovfefe,@zattack2016
@mangum_suzy,@Sissy44369900
@Christi70510567,@B_NERD
@Milliron681,@andygh26
@Real_Tim_Turner,@CoCoDeLiGhT_
@MarkSDeRosa,@GABkicksass
@EverleashLLC,@ThatWokeAuntie
@sm19451,@KEC9
@DelusionaryPhD,@LiberalLecter
@gaberobertson1,@jSpechal
@thenatureboiiii,@hollygo10
@AndreaGw123,@michelle11502
@SharrDonald,@MAGATrumpGirl
@CatcheNameHere,@therealroseanne
@zZ_King,@jonny_red32
@UnDreadPirate,@JFlaken
@theretheirthere,@Moezmusing1
@MrKleptonic,@ndavis2
@JaxBchLady,@RHOBellevue
@Dan__McClure,@VanGauthier3
@shittle_07,@josephmcclung81
@TjJamesAZ,@_RayStern
@terry_cousin,@haha967
@carolina4POTUS,@DLoffman
@IWillRedPillU,@REMarquardt
@ryanfeinberg407,@Mardcon
@ryanfeinberg407,@thenatureboiiii
@therealroseanne,@MARS0411
@therealroseanne,@YaBoyChaley
@FroggieJulie,@lvcuban
@sfrsteel,@RobPlays
@angelhrt1952,@jweissman476
@z56po,@TheAntiTwitler
@MRJAYBEE83,@MAGA_PARTY_559
@bleudawn7,@SafiMaasai
@politicangst,@Lflashy
@Grumpyallday,@SBelle1950
@DeeDeeRP,@lafleurmtl
@Coach_Crash,@KenGardner11
@heatherkarwacki,@jilldjones
@DaveMuscarella,@satanisadick
@philip_saulter,@mpsuggs
@hillfamilynana,@DaleLee919
@xanderaddison,@thedailyangle
@therealroseanne,@RobertIger
@CalFreedomMom,@BossyCowgurl84
@DonnaWR8,@carrieksada_
@gabe_seabass,@WhereWeGo11
@UncleAndy45014,@LambitoTheDon
@PresidentTyrone,@ItsTanaMarie
@ryanfeinberg407,@grumpy99
@margiemurd,@jeklo24
@Chelle_Shocker,@Grumpyallday
@Nick_Hanover,@DavidUzumeri
@AHR1228,@beingattacked
@BelindaBee13,@ken11801
@mojopo,@ma_liky_
@bobdyer55,@Chelle_Shocker
@therealroseanne,@bayareahausfrau
@RadioBizBody,@GeriMonsen1
@Nippmal1,@MrRamy01
@ShellyAMoss2,@TheAntiTwitler
@the_anne_tie,@holachola
@nisisdaughter,@mpsuggs
@nisisdaughter,@philip_saulter
@Kschmidt67,@Wbarial302
@bpadj,@bfreinik
@mray71150,@Jaguire19
@RobiCalifornia,@AndreaGw123
@RobiCalifornia,@michelle11502
@1stMosesNowThis,@holachola
@1stMosesNowThis,@the_anne_tie
@Wonder_Woman53,@SkreetGil
@tlvance63,@Toniraebenedic1
@thenatureboiiii,@Mardcon
@mehransharmini,@mojopo
@SidecarAndCoffe,@bywayofjpp
@THEsaragilbert,@ABC
@elreyDallas,@ahernandez85b
@AdrblyFerocious,@MamaRose2017
@chrisb_writer,@Nippmal1
@JennywithaGlock,@TriggeredNaruto
@ghostmagic48,@AxholetheGreat
@USA_Anne711,@LorcaDamon
@AreLights,@DaleLee919
@Garywagoner3,@DrShayPhD
@girlsaIouds,@theoryofgalecki
@briantidwell09,@GeriMonsen1
@briantidwell09,@RadioBizBody
@LorcaDamon,@SlightlyRusted
@DeannaSader,@SaraV20166
@DeannaSader,@DarbaDee
@imthesongbirdy,@jagproperties
@MarkSZaidEsq,@stormishere18
@MarkSZaidEsq,@T_S_P_O_O_K_Y
@TheRealMadGib2,@nysports1975
@MichelleDaviso6,@Omerta1916
@thatgrllvstrmp,@svsfsu29
@margaritamimi1,@JosephCumia
@AustinJLuse,@d_ALLL
@overthewall1630,@GardenGuy82
@overthewall1630,@Amandam2941Lynn
@archie34,@WholeLottaRosex
@archie34,@josephmcclung81
@MaraJade_2017,@TheSWPrincess
@JPW58115639,@rovermom
@antventure,@CaughtYa164
@RealFuckSchtick,@donnajisaok
@Susan_Teeple,@BerryFLW
@KimKriz1,@KooperKatz
@duckduckloose,@DarbaDee
@okapiden,@snarkforce1
@AmandaNHardwic1,@FrostbiteBlizz
@Pork_Kebab,@NatIG85949573
@RainingTable,@drob995
@MrBonMot,@northernscums
@MrKurtLockwood,@MsSleuth007
@NeoBolshevik,@MReco12
@CaomhanKeane,@TimWil014
@EsemicolonR,@LorcaDamon
@MplsMe,@ladyhawkerfinds
@ThunderBay2day,@UPYOURS555
@holachola,@mbmcmanamon
@voter1vote,@Amy_Etkind
@KimTrashdashian,@JaxBchLady
@KimTrashdashian,@RHOBellevue
@WoodsMichelle5,@AgentCoop85
@ChristopherN4G,@Knightkore
@deenieshats,@dinok1975
@Lucypuff,@BrianSaysStuff
@JusTFacts12345,@jb_mchale
@1pearljamfan,@RajaBleedsBlue
@sleep2dream,@AnniIrish
@MitchyRed23,@risinmojo1974
@rkfatheree,@Mamaknits3
@Enigma1008,@lisajohead
@SavvyAuntie,@leslie
@et9028,@OwnMindBRob
@AmandaNHardwic1,@CaughtYa164
@themyles39,@JKRobot_7
@BZigg,@ms_anonymous_d
@Jacquel70700100,@pv1star
@therealroseanne,@LauraLoomer
@danjdob,@brengun66
@intheMatrixxx,@jlongfieldsmith
@kirkpatrickcp,@TheAntiTwitler
@CarolForden,@AttyJ
@EricVonFluger,@estradagold1
@moriya2k2,@Ike19777
@TheCountryBoys,@Prop215Patient
@TT45Pac,@ian_shuker
@its_a_trapppppp,@TiangPaul
@its_a_trapppppp,@B_Rad_Gee_Zee
@Glightheart1,@Leeds_Demon
@misfitkronos,@4happyfolks
@DanaNra2000,@china_doll24
@Dentheluck,@KarimAvecM
@overthewall1630,@LittlePubGig
@TruthHu72968530,@NinersMayne
@GinnyMac55,@devdev324
@ma_liky_,@MizzesB
@hawkeyes4life1,@Om4rSd
@bbredttt,@SpinaRoony
@JusticeAngelof,@W56Annie
@AmyOnCoffee,@aaron_magro
@jtstorm62,@DragonflyOnPond
@CentFL4Trump,@TrumpSuckMyD
@skeller85,@slperdue22
@No_TreadChris,@DarbaDee
@marishere,@Delusional45
@willsmithaf,@itspatreesh2u
@BoundForBedlam,@thenatureboiiii
@Smashedcan01,@TheNewRight
@carrieksada_,@jojoh888
@burnerBURNER6,@RedSleez
@Kimberly_Monet,@donnatweetmomma
@R_Gl0ver,@krazyladygma
@Estes1673,@andygh26
@RolfHarris65,@Larsofhaus1
@kim_donadio,@CharlieBuscemi
@zaro_ambrogino,@Kareshy_Alter
@papa_sissy,@virbow1
@JoeSPalmer,@MiloWear1A
@jlongfieldsmith,@tjbayus1
@Lu4Evah,@KimKriz1
@Sweets11R,@okgrdnfn
@GadsdenJazz,@vjeannek
@flint_marko6661,@all_the_Mindy
@JoeClowers1,@GinnyMac55
@JoeClowers1,@devdev324
@RamseyEan,@ofTimeSpace
@patriciaetyson,@CnyRon
@AbrahamAlyzah,@VkilledtheRstar
@lilybaldwin220,@Bgiant1Bob
@Pria_Amin,@BlueLineVeteran
@realLyingMedia,@missy_zaccaro
@grantevanhf,@EddieEddiboy70
@Louzephyr76,@ScottishPhenix
@Lorrieburns77,@michelle11502
@gandsleonard,@Mousseabella
@realgrace_kelly,@someone_uknow
@trumps_wolf,@HeyThatsMyPen
@billings_steve,@TheDunkingNun
@realDonaldTrump,@therealroseanne
@AmandaNHardwic1,@attridgj
@iamAtheistGirl,@MakeANoteOfThat
@DNOPOM,@Ryan4502910043
@realmikepacker,@Sarah_G_Barker
@LadyBabs07,@TravisStarley
@MsVAA,@janice_e
@toystory_81,@toddeherman
@BobbyF9_,@JenniferMostre1
@Erick_O_524,@GinnyMac55
@Erick_O_524,@JoeClowers1
@Erick_O_524,@devdev324
@SGTWoobie,@Leeds_Demon
@SGTWoobie,@Glightheart1
@GretchenAPeck,@Meridian410
@tracymohr,@TippyFalmouth
@therealroseanne,@nytimes
@PatriotElsa,@fisheshadfeet
@UnderdogKitties,@michelle11502
@UnderdogKitties,@AndreaGw123
@UnderdogKitties,@Lorrieburns77
@therealroseanne,@UnderdogKitties
@therealroseanne,@michelle11502
@SavvySync,@Garyville_Girl
@BluesBrother91,@UrUnpaidPundit
@FayeAdrienne,@KellyMadeya
@wisecc1,@UPYOURS555
@thegobest,@ElderLansing
@AbeFroman,@JothikaN
@Drgiggidy71,@spearsdeni
@soonerrick,@DarbaDee
@ljpflash,@mugfrommichigan
@ABC,@KeithOlbermann
@UQnMe,@flint_marko6661
@UQnMe,@all_the_Mindy
@Sadiesayit,@CindyBr15464234
@Kalaax008,@running_on_E
@DaveEvans5555,@ToddO243
@HOFJack21,@andygh26
@Hyne557,@CharlesD3333
@RecipeForTheW,@ElizabethMegna
@mjfree,@realTomDudley
@TheNamesGary,@NYdouchebag
@MzNenaBabii,@Pooh81Editon
@LanaAshford1,@oldmanluvsmineo
@MuricanRedBeard,@arichtall
@MuricanRedBeard,@y_m_k_m
@roastbeef231219,@RainingTable
