Source,Target,Date,agree,unclear,pro,Weight
@ashleygennett,@Kybballking,Tue May 29 18:07:33 +0000 2018,1,1,3,1
@MichaelBTCE,@TheProposalTV,Tue May 29 18:07:33 +0000 2018,1,0,5,1
@MichaelBTCE,@ABCNetwork,Tue May 29 18:07:33 +0000 2018,1,0,5,1
@MichaelBTCE,@JessePalmerTV,Tue May 29 18:07:33 +0000 2018,1,0,5,1
@MichaelBTCE,@therealroseanne,Tue May 29 18:07:33 +0000 2018,1,0,5,1
@ChildspirtVari,@Chongo2204,Tue May 29 18:07:33 +0000 2018,1,1,3,1
@ChildspirtVari,@therealroseanne,Tue May 29 18:07:33 +0000 2018,1,1,3,1
@abferri,@mflynnJR,Tue May 29 18:39:52 +0000 2018,1,0,5,1
@abferri,@therealroseanne,Tue May 29 18:39:52 +0000 2018,1,0,5,1
@senormundial,@therealroseanne,Tue May 29 18:07:35 +0000 2018,0,0,,1
@AmericanSunlig1,@CNNMoney,Tue May 29 18:07:36 +0000 2018,0,0,,1
@Kevincore77,@therealroseanne,Tue May 29 18:07:36 +0000 2018,1,0,1,1
@BillWrh1970,@mmstwells,Tue May 29 18:07:36 +0000 2018,1,1,3,1
@BillWrh1970,@marthamaccallum,Tue May 29 18:07:36 +0000 2018,1,1,3,1
@BillWrh1970,@therealroseanne,Tue May 29 18:07:36 +0000 2018,1,1,3,1
@BillWrh1970,@RealCandaceO,Tue May 29 18:07:36 +0000 2018,1,1,3,1
@AlexChestnut7,@Mamaknits3,Tue May 29 18:07:37 +0000 2018,0,0,,1
@AlexChestnut7,@therealroseanne,Tue May 29 18:07:37 +0000 2018,0,0,,1
@Mamaknits3,@rkfatheree,Tue May 29 18:23:48 +0000 2018,1,1,3,1
@Mamaknits3,@therealroseanne,Tue May 29 18:23:48 +0000 2018,1,1,3,1
@atrophyart,@EmmaRoseKenney,Tue May 29 18:07:38 +0000 2018,0,0,,1
@atrophyart,@therealroseanne,Tue May 29 18:07:38 +0000 2018,0,0,,1
@KenBelder,@CLOUD_TAP_LANCE,Tue May 29 18:07:38 +0000 2018,1,1,3,1
@KenBelder,@Disney,Tue May 29 18:07:38 +0000 2018,1,1,3,1
@KenBelder,@ABC,Tue May 29 18:07:38 +0000 2018,1,1,3,1
@KenBelder,@espn,Tue May 29 18:07:38 +0000 2018,1,1,3,1
@KenBelder,@therealroseanne,Tue May 29 18:07:38 +0000 2018,1,1,3,1
@KenBelder,@KeithOlbermann,Tue May 29 18:07:38 +0000 2018,1,1,3,1
