ID,tweets,mentions,pro,group
@MichaelBTCE,1,0,5,pro
@KimberlyAParri0,1,0,5,pro
@Avoice4u2day,1,0,5,pro
@raaadaniel,1,0,5,pro
@385parkplace,1,7,5,pro
@Bueno247,1,0,5,pro
@pinkartgurl59,1,0,5,pro
@bears_blackhawk,1,0,5,pro
@actiondirector1,1,0,5,pro
@chrisb_writer,1,20,5,pro
@meanbean74,1,0,5,pro
@LindaMarie1182,1,0,5,pro
@flints1963,1,0,5,pro
@__TaYmuR__,1,0,5,pro
@MarlaWeezie,1,0,5,pro
@ColorMeRed,1,1,5,pro
@TubbyEmu,1,0,5,pro
@CameronRidle,1,0,5,pro
@BentzTroy,1,0,5,pro
@wiselatinaslink,1,1,5,pro
@Alyssa40k,1,0,5,pro
@JudyFrances1975,1,7,5,pro
@Ajah1551,1,0,5,pro
@mymediazoo,1,0,5,pro
@zattack2016,1,0,5,pro
@SusanSPatt,1,0,5,pro
@Jacquelineca1,1,0,5,pro
@HylianTom,1,0,5,pro
@BobbyBillings7,1,0,5,pro
@lukedoughaines,1,0,5,pro
@NyReeAusler,1,0,5,pro
@surelyverily,1,0,5,pro
@Livinglakelife,1,0,5,pro
@RealMAGASteve,1,1,5,pro
@MoonOwl52,1,0,5,pro
@tromyam,1,0,5,pro
@jdoyle0818,1,0,5,pro
@AngelDeath1817,1,0,5,pro
@BecBec8630,1,0,5,pro
@ConsrvtvTX,1,0,5,pro
@JackPosobiec,1,40,5,pro
@TimothyBarbier5,1,0,5,pro
@martens_anthony,1,0,5,pro
@jjorgensen1932,1,0,5,pro
@maryanne_macrae,1,0,5,pro
@Louis_Peach,1,0,5,pro
@RayrayAZ,1,0,5,pro
@dryheevz,1,0,5,pro
@todd_phillippi,1,0,5,pro
@jasempayne,1,0,5,pro
@leoprz2016,1,0,5,pro
@Paulcha51959699,1,0,5,pro
@waitwaitwhut,1,0,5,pro
@faulk_les,1,0,5,pro
@Truth2point0,1,0,5,pro
@KopaJude,1,0,5,pro
@B_NERD,1,0,5,pro
@Carolyn65996583,1,0,5,pro
@freezedry69,1,0,5,pro
@rpmnana,1,0,5,pro
@briggzee1,1,1,5,pro
@Tempdiaries,1,0,5,pro
@StevenJThomas3,1,0,5,pro
@edtheshrubber,1,0,5,pro
@SouthBuffalo22,1,0,5,pro
@SwamyVisiri,1,0,5,pro
@timtamking,1,0,5,pro
@RossbachTracy,1,0,5,pro
@ClarkEWilliams,1,0,5,pro
@tjf1979,1,0,5,pro
@Francparler,1,0,5,pro
@Quizzlerian,1,0,5,pro
@unafromaltoona1,1,0,5,pro
@WinterberryWP,1,0,5,pro
@CASSEROLEBOY,1,0,5,pro
@TheRealHublife,1,16,5,pro
@NickR27,1,0,5,pro
@jwindh,1,0,5,pro
@MikevdGalien,1,0,5,pro
@DFBHarvard,1,0,5,pro
@angelafantinmil,1,0,5,pro
@JayThePatriot43,1,0,5,pro
@leeleebb21,1,0,5,pro
@delindadewick,1,0,5,pro
@Dan_Thorpe,1,0,5,pro
@TheTruthParadox,1,2,5,pro
@bhurley76,1,0,5,pro
@DCxThree,1,0,5,pro
@MonyeWeiner,1,0,5,pro
@citygirltoo21,1,0,5,pro
@MichaelGarciaJr,1,0,5,pro
@CDHVDS,1,0,5,pro
@EvadEneerg,1,0,5,pro
@lany891,1,0,5,pro
@T_H_E_U_S_A,1,0,5,pro
@bigj021387,1,0,5,pro
@omid23,1,0,5,pro
@artbyjennz,1,0,5,pro
@MonetizedSpace,1,0,5,pro
@daghanirak,1,0,5,pro
@marie69estelle,1,0,5,pro
@baldeagle1961,1,0,5,pro
@RushtasticDon,1,0,5,pro
@DaveePena,1,0,5,pro
@umabgaff,1,0,5,pro
@WestMIAgain,1,0,5,pro
@TonnieLubbers,1,0,5,pro
@pjeskew,1,0,5,pro
@themrpov,1,0,5,pro
@teigland_vicki,1,0,5,pro
@PietroPaparella,1,0,5,pro
@MichaelDeFranc1,1,0,5,pro
@timmybranmuffin,1,0,5,pro
