Source,Target,Type,Id,Label,timeset,Weight
@ChelseaClinton,@ChelseaClinton,Directed,0,,,1
@aydeethegreat,@aydeethegreat,Directed,1,,,1
@FirchD,@WillieGeist,Directed,2,,,1
@FirchD,@therealroseanne,Directed,3,,,1
@FirchD,@ValerieJarrett,Directed,4,,,1
@FirchD,@NBCNews,Directed,5,,,1
@YonnyG23,@YonnyG23,Directed,6,,,1
@candycanerko,@therealroseanne,Directed,7,,,1
@andylassner,@andylassner,Directed,8,,,1
@Nidhi,@Nidhi,Directed,9,,,1
@MichaelBTCE,@therealroseanne,Directed,10,,,1
@MichaelBTCE,@MSNBC,Directed,11,,,1
@ChildspirtVari,@therealroseanne,Directed,12,,,1
@lvmomof32012,@sleeper52967598,Directed,13,,,1
@lvmomof32012,@therealroseanne,Directed,14,,,1
@ava,@ava,Directed,15,,,1
@PlopGazette,@PlopGazette,Directed,16,,,1
@LG4LG,@LG4LG,Directed,17,,,1
@jpbrammer,@jpbrammer,Directed,18,,,1
@brianstelter,@brianstelter,Directed,19,,,1
@markockc48,@TheTweetOfGod,Directed,20,,,1
@markockc48,@realDonaldTrump,Directed,21,,,1
@markockc48,@therealroseanne,Directed,22,,,1
@MarkDice,@MarkDice,Directed,23,,,1
@MarkDice,@FoxTV,Directed,24,,,1
@KimberlyAParri0,@ColorOfChange,Directed,25,,,1
@KimberlyAParri0,@womensmarch,Directed,26,,,1
@RESISTTHECHEETO,@therealroseanne,Directed,27,,,1
@StarsStripesGal,@StarsStripesGal,Directed,28,,,1
@StarsStripesGal,@therealroseanne,Directed,29,,,1
@ananavarro,@ananavarro,Directed,30,,,1
@ananavarro,@ABCNetwork,Directed,31,,,1
@ananavarro,@bensherwood,Directed,32,,,1
@kazweida,@kazweida,Directed,33,,,1
@robinthede,@robinthede,Directed,34,,,1
@IWriteAllDay_,@IWriteAllDay_,Directed,35,,,1
@trinityannlee,@trinityannlee,Directed,36,,,1
@TheRealHublife,@TheRealHublife,Directed,37,,,1
@TheRealHublife,@ABCNetwork,Directed,38,,,1
@MADBLACKTHOT,@MADBLACKTHOT,Directed,39,,,1
@therealroseanne,@therealroseanne,Directed,40,,,1
@VICE,@VICE,Directed,41,,,1
@Cubz9,@DawnMLopez,Directed,42,,,1
@Cubz9,@chrisb_writer,Directed,43,,,1
@Cubz9,@andygh26,Directed,44,,,1
@Cubz9,@Milliron681,Directed,45,,,1
@Cubz9,@soonerrick,Directed,46,,,1
@Cubz9,@debralynnsmith3,Directed,47,,,1
@Cubz9,@therealroseanne,Directed,48,,,1
@davidaxelrod,@davidaxelrod,Directed,49,,,1
@LaurenWern,@LaurenWern,Directed,50,,,1
@LaurenWern,@ABCNetwork,Directed,51,,,1
@JohnJHarwood,@JohnJHarwood,Directed,52,,,1
@Loisdutch1,@dailycaller,Directed,53,,,1
@ashleygennett,@therealroseanne,Directed,54,,,1
@ashleygennett,@kfarley519,Directed,55,,,1
@JackPosobiec,@JackPosobiec,Directed,56,,,1
@JackPosobiec,@ABC,Directed,57,,,1
@JTMYVA,@JTMYVA,Directed,58,,,1
@KingBeyonceStan,@KingBeyonceStan,Directed,59,,,1
@jim_pennington,@therealroseanne,Directed,60,,,1
@mitchellreports,@mitchellreports,Directed,61,,,1
@cgt465,@THEsaragilbert,Directed,62,,,1
@charliekirk11,@charliekirk11,Directed,63,,,1
@abferri,@FoxNews,Directed,64,,,1
@kyalbr,@kyalbr,Directed,65,,,1
@Trump_Wall2016,@therealroseanne,Directed,66,,,1
@yugiohtas,@yugiohtas,Directed,67,,,1
@paulammarshall,@paulammarshall,Directed,68,,,1
@VoidTheElection,@THEsaragilbert,Directed,69,,,1
@bjscodywody1,@bjscodywody1,Directed,70,,,1
@ohmypinks,@therealroseanne,Directed,71,,,1
@DrShayPhD,@DrShayPhD,Directed,72,,,1
@DonCheadle,@DonCheadle,Directed,73,,,1
@RVAwonk,@RVAwonk,Directed,74,,,1
@AymanM,@AymanM,Directed,75,,,1
@FredFromHon,@FredFromHon,Directed,76,,,1
@AP,@AP,Directed,77,,,1
@MsPackyetti,@MsPackyetti,Directed,78,,,1
@CatFanatic9,@CatFanatic9,Directed,79,,,1
@CatFanatic9,@therealroseanne,Directed,80,,,1
@Kenny__Stewart,@Kenny__Stewart,Directed,81,,,1
@ProudResister,@ProudResister,Directed,82,,,1
@Ian56789,@Ian56789,Directed,83,,,1
@ABC,@ABC,Directed,84,,,1
@DEADLINE,@ABCNetwork,Directed,85,,,1
@BenSPLATT,@BenSPLATT,Directed,86,,,1
@muchwilder,@therealroseanne,Directed,87,,,1
@marclamonthill,@marclamonthill,Directed,88,,,1
@Salon,@Salon,Directed,89,,,1
@tiwhitter,@ABC,Directed,90,,,1
@RotoPat,@RotoPat,Directed,91,,,1
@HuffPost,@HuffPost,Directed,92,,,1
@gilbertjasono,@gilbertjasono,Directed,93,,,1
@adrianadlt3,@therealroseanne,Directed,94,,,1
@therealroseanne,@ChelseaClinton,Directed,95,,,1
@therealroseanne,@OpenSociety,Directed,96,,,1
@krassenstein,@krassenstein,Directed,97,,,1
@MoskiLove,@therealroseanne,Directed,98,,,1
@Seinfeld2000,@Seinfeld2000,Directed,99,,,1
@ananavarro,@DisneyTeaPainUSA,Directed,100,,,1
@ananavarro,@TeaPainUSA,Directed,101,,,1
@ananavarro,@ABC,Directed,102,,,1
@AynRandPaulRyan,@AynRandPaulRyan,Directed,103,,,1
@JoeNBC,@JoeNBC,Directed,104,,,1
@JoeNBC,@ABC,Directed,105,,,1
@molly_knight,@ABC,Directed,106,,,1
@faithchoyce,@faithchoyce,Directed,107,,,1
@SocialClaude,@SocialClaude,Directed,108,,,1
@TheTweetOfGod,@TheTweetOfGod,Directed,109,,,1
@TheTweetOfGod,@realDonaldTrump,Directed,110,,,1
@TheTweetOfGod,@therealroseanne,Directed,111,,,1
@farmer_matthew,@therealroseanne,Directed,112,,,1
@LisaMei62,@LisaMei62,Directed,113,,,1
@LisaMei62,@therealroseanne,Directed,114,,,1
@andizeisler,@andizeisler,Directed,115,,,1
@techiven,@soonerrick,Directed,116,,,1
@techiven,@BethB1213,Directed,117,,,1
@techiven,@therealroseanne,Directed,118,,,1
@techiven,@ABCNetwork,Directed,119,,,1
@sepinwall,@sepinwall,Directed,120,,,1
@crissles,@crissles,Directed,121,,,1
@kenkasum,@Shem_Infinite,Directed,122,,,1
@kenkasum,@FOXTV,Directed,123,,,1
@kenkasum,@therealroseanne,Directed,124,,,1
@kenkasum,@LastManStanding,Directed,125,,,1
@senormundial,@therealroseanne,Directed,126,,,1
@redsteeze,@redsteeze,Directed,127,,,1
@washingtonpost,@washingtonpost,Directed,128,,,1
@poniewozik,@poniewozik,Directed,129,,,1
@eugenegu,@eugenegu,Directed,130,,,1
@originalspin,@originalspin,Directed,131,,,1
@wkamaubell,@wkamaubell,Directed,132,,,1
@Ricardo_Gozinya,@therealroseanne,Directed,133,,,1
@bktrustee,@stationmum101,Directed,134,,,1
@bktrustee,@sarawiseman,Directed,135,,,1
@4everNeverTrump,@4everNeverTrump,Directed,136,,,1
@CharisseforWI,@CharisseforWI,Directed,137,,,1
@scheftic,@FoxNews,Directed,138,,,1
@thedailybeast,@thedailybeast,Directed,139,,,1
@kenolin1,@kenolin1,Directed,140,,,1
@hrtablaze,@hrtablaze,Directed,141,,,1
@hrtablaze,@therealrose,Directed,142,,,1
@AmericanSunlig1,@therealroseanne,Directed,143,,,1
@cnnbrk,@cnnbrk,Directed,144,,,1
@JacobAWohl,@JacobAWohl,Directed,145,,,1
@Kevincore77,@therealroseanne,Directed,146,,,1
@imnatecorddry,@imnatecorddry,Directed,147,,,1
@imnatecorddry,@DennisDMZ,Directed,148,,,1
@Jalbarron13,@roxxy88,Directed,149,,,1
@DrieuxK,@CarolynWither12,Directed,150,,,1
@DrieuxK,@Pajjr2016,Directed,151,,,1
@DrieuxK,@ABC,Directed,152,,,1
@thechrisdenker,@thechrisdenker,Directed,153,,,1
@mviser,@mviser,Directed,154,,,1
@Amy_Siskind,@Amy_Siskind,Directed,155,,,1
@Amy_Siskind,@variety,Directed,156,,,1
@DannyDeraney,@DannyDeraney,Directed,157,,,1
@politico,@politico,Directed,158,,,1
@HeWhoLovesWords,@HeWhoLovesWords,Directed,159,,,1
@SoundRelay,@therealroseanne,Directed,160,,,1
@mashable,@mashable,Directed,161,,,1
@KirkWrites79,@KirkWrites79,Directed,162,,,1
@v_thapar,@therealroseanne,Directed,163,,,1
@PJVogt,@PJVogt,Directed,164,,,1
@ABC,@therealroseanne,Directed,165,,,1
@dj_yatta,@ABC,Directed,166,,,1
@Rocker1639,@marthamaccallum,Directed,167,,,1
@Rocker1639,@therealroseanne,Directed,168,,,1
@Rocker1639,@RealCandaceO,Directed,169,,,1
@ParkerMolloy,@ParkerMolloy,Directed,170,,,1
@GregRajan,@GregRajan,Directed,171,,,1
@almostjingo,@almostjingo,Directed,172,,,1
@almostjingo,@therealroseanne,Directed,173,,,1
@pattymo,@pattymo,Directed,174,,,1
@irritatedwoman,@irritatedwoman,Directed,175,,,1
@irritatedwoman,@therealroseanne,Directed,176,,,1
@irritatedwoman,@TheView,Directed,177,,,1
@royalmusing,@Jakreg76,Directed,178,,,1
@royalmusing,@BBCBreaking,Directed,179,,,1
@ABC_Publicity,@ABC_Publicity,Directed,180,,,1
@ItsMeCathi,@ItsMeCathi,Directed,181,,,1
@ItsMeCathi,@ABC,Directed,182,,,1
@IWillRedPillU,@IWillRedPillU,Directed,183,,,1
@IWillRedPillU,@therealroseanne,Directed,184,,,1
@desusnice,@desusnice,Directed,185,,,1
@MSNBC,@MSNBC,Directed,186,,,1
@BerryLovesMe,@therealroseanne,Directed,187,,,1
@BerryLovesMe,@realDonaldTrump,Directed,188,,,1
@TheDailyEdge,@TheDailyEdge,Directed,189,,,1
@CapehartJ,@CapehartJ,Directed,190,,,1
@FiveRights,@FiveRights,Directed,191,,,1
@SeaSchells,@SeaSchellsBelleTheCat42,Directed,192,,,1
@SeaSchells,@RoseanneOnABC,Directed,193,,,1
@RawStory,@RawStory,Directed,194,,,1
@big_business_,@big_business_,Directed,195,,,1
@Truthseeker126,@Truthseeker126,Directed,196,,,1
@Mikel_Jollett,@Mikel_Jollett,Directed,197,,,1
@Mikel_Jollett,@ABCNetwork,Directed,198,,,1
@Mikel_Jollett,@Disney,Directed,199,,,1
@erinscafe,@erinscafe,Directed,200,,,1
@USATODAY,@GOP,Directed,201,,,1
@USATODAY,@realDonaldTrump,Directed,202,,,1
@SolotarGavin,@therealroseanne,Directed,203,,,1
@SolotarGavin,@DonaldJTrumpJr,Directed,204,,,1
@fox_gloves,@fox_gloves,Directed,205,,,1
@abrett107,@TheTweetOfGod,Directed,206,,,1
@abrett107,@realDonaldTrump,Directed,207,,,1
@abrett107,@therealroseanne,Directed,208,,,1
@crooksandliars,@crooksandliars,Directed,209,,,1
@YesYoureRacist,@YesYoureRacist,Directed,210,,,1
@YesYoureRacist,@therealroseanne,Directed,211,,,1
@CBSThisMorning,@CBSThisMorning,Directed,212,,,1
@CBSThisMorning,@RoseanneOnABC,Directed,213,,,1
@CBSThisMorning,@therealroseanne,Directed,214,,,1
@MarsinCharge,@MarsinCharge,Directed,215,,,1
@The_Lady_Red,@The_Lady_Red,Directed,216,,,1
@The_Lady_Red,@BlueHenArt,Directed,217,,,1
@The_Lady_Red,@JoeNBC,Directed,218,,,1
@The_Lady_Red,@ABC,Directed,219,,,1
@RaheemKassam,@RaheemKassam,Directed,220,,,1
@kylegriffin1,@kylegriffin1,Directed,221,,,1
@TheFaithHunter,@TheFaithHunter,Directed,222,,,1
@TheFaithHunter,@therealroseanne,Directed,223,,,1
@TheFaithHunter,@FOXTV,Directed,224,,,1
@TheFaithHunter,@ABCNetwork,Directed,225,,,1
@BruceHiscott,@Sw33tss_,Directed,226,,,1
@BruceHiscott,@StaceyR04367981,Directed,227,,,1
@BruceHiscott,@KEEMSTAR,Directed,228,,,1
@BruceHiscott,@therealroseanne,Directed,229,,,1
@Newsweek,@Newsweek,Directed,230,,,1
@MorganPCampbell,@MorganPCampbell,Directed,231,,,1
@joshtpm,@joshtpm,Directed,232,,,1
@CarolynsGeekOut,@CarolynsGeekOut,Directed,233,,,1
@Avoice4u2day,@ananavarro,Directed,234,,,1
@Avoice4u2day,@ABCNetwork,Directed,235,,,1
@Avoice4u2day,@bensherwood,Directed,236,,,1
@Avoice4u2day,@therealroseanne,Directed,237,,,1
@MichaelDGrayson,@therealroseanne,Directed,238,,,1
@mray71150,@mray71150,Directed,239,,,1
@mray71150,@linhen2020,Directed,240,,,1
@mray71150,@DallasCoy1,Directed,241,,,1
@mray71150,@therealroseanne,Directed,242,,,1
@mray71150,@ChucksWife1973,Directed,243,,,1
@THR,@THR,Directed,244,,,1
@AuntyTrump2018,@therealroseanne,Directed,245,,,1
@NBCNews,@NBCNews,Directed,246,,,1
@atrophyart,@TheGoodGodAbove,Directed,247,,,1
@atrophyart,@therealroseanne,Directed,248,,,1
@_WordSmiff_,@_WordSmiff_,Directed,249,,,1
@PoliticalEmilia,@PoliticalEmilia,Directed,250,,,1
@Superpaperclip,@TheTweetOfGod,Directed,251,,,1
@Superpaperclip,@realDonaldTrump,Directed,252,,,1
@Superpaperclip,@therealroseanne,Directed,253,,,1
@ShaunKing,@ABCNetwork,Directed,254,,,1
@ShaunKing,@therealroseanne,Directed,255,,,1
@morninggloria,@morninggloria,Directed,256,,,1
@AdamParkhomenko,@AdamParkhomenko,Directed,257,,,1
@Variety,@Variety,Directed,258,,,1
@alonso_dm,@alonso_dm,Directed,259,,,1
@EdKrassen,@EdKrassen,Directed,260,,,1
@EdKrassen,@ABC,Directed,261,,,1
@CNN,@CNN,Directed,262,,,1
